db_id,question,query
gas_company,show all main industry and total market value in each industry.,"select main_industry ,  sum(market_value) from company group by main_industry"
flight_2,how many 'united airlines' flights go to airport 'asy'?,"select count(*) from airlines as t1 join flights as t2 on t2.airline  =  t1.uid where t1.airline  =  ""united airlines"" and t2.destairport  =  ""asy"""
scholar,how many papers does ed desmond have in semantic parsing area ?,"select distinct count ( distinct t3.paperid ) from paperkeyphrase as t1 join keyphrase as t4 on t1.keyphraseid  =  t4.keyphraseid join writes as t3 on t3.paperid  =  t1.paperid join author as t2 on t3.authorid  =  t2.authorid where t2.authorname  =  ""ed desmond"" and t4.keyphrasename  =  ""semantic parsing"";"
election,"what are the names of the county that the delegates on ""appropriations"" committee belong to?","select t1.county_name from county as t1 join election as t2 on t1.county_id  =  t2.district where t2.committee  =  ""appropriations"""
concert_singer,what are the locations and names of all stations with capacity between 5000 and 10000?,"select location ,  name from stadium where capacity between 5000 and 10000"
academic,"return me the number of the papers of "" h. v. jagadish "" containing keyword "" user study "" .","select count ( distinct t5.title ) from publication_keyword as t3 join keyword as t1 on t3.kid  =  t1.kid join publication as t5 on t5.pid  =  t3.pid join writes as t4 on t4.pid  =  t5.pid join author as t2 on t4.aid  =  t2.aid where t2.name  =  ""h. v. jagadish"" and t1.keyword  =  ""user study"";"
cre_doc_tracking_db,"show the names of all the employees with role ""hr"".","select employee_name from employees where role_code  =  ""hr"""
gymnast,how many gymnasts are there?,select count(*) from gymnast
chinook_1,what are the last names of customers without invoice totals exceeding 20?,select lastname from customer except select t1.lastname from customer as t1 join invoice as t2 on t1.customerid  =  t2.customerid where t2.total  >  20
machine_repair,list the names of technicians who have not been assigned to repair machines.,select name from technician where technician_id not in (select technician_id from repair_assignment)
farm,show the years and the official names of the host cities of competitions.,"select t2.year ,  t1.official_name from city as t1 join farm_competition as t2 on t1.city_id  =  t2.host_city_id"
formula_1,list the forename and surname of all distinct drivers who once had laptime less than 93000 milliseconds?,"select distinct t1.forename ,  t1.surname from drivers as t1 join laptimes as t2 on t1.driverid = t2.driverid where t2.milliseconds < 93000"
formula_1,find the id and forenames of drivers who participated both the races with name australian grand prix and the races with name chinese grand prix?,"select t2.driverid ,  t3.forename from races as t1 join results as t2 on t1.raceid = t2.raceid join drivers as t3 on t2.driverid  =  t3.driverid where t1.name = ""australian grand prix"" intersect select t2.driverid ,  t3.forename from races as t1 join results as t2 on t1.raceid = t2.raceid join drivers as t3 on t2.driverid  =  t3.driverid where t1.name = ""chinese grand prix"""
tracking_share_transactions,"what are the lot details of lots associated with transactions whose share count is bigger than 100 and whose type code is ""pur""?","select t1.lot_details from lots as t1 join transactions_lots as t2 on  t1.lot_id  =  t2.transaction_id join transactions as t3 on t2.transaction_id  =  t3.transaction_id where t3.share_count  >  100 and t3.transaction_type_code  =  ""pur"""
inn_1,what are the name of rooms that cost more than the average.,select roomname from rooms where baseprice  >  ( select avg(baseprice) from rooms );
document_management,"find the name and access counts of all documents, in alphabetic order of the document name.","select document_name ,  access_count from documents order by document_name"
cre_doc_template_mgt,which template type code is used by most number of documents?,select t1.template_type_code from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id group by t1.template_type_code order by count(*) desc limit 1
academic,"return me all the papers in pvldb in "" university of michigan "" .","select t5.title from organization as t2 join author as t1 on t2.oid  =  t1.oid join writes as t4 on t4.aid  =  t1.aid join publication as t5 on t4.pid  =  t5.pid join journal as t3 on t5.jid  =  t3.jid where t3.name  =  ""pvldb"" and t2.name  =  ""university of michigan"";"
restaurants,what are some good places for arabic on buchanan in san francisco ?,"select t2.house_number  ,  t1.name from restaurant as t1 join location as t2 on t1.id  =  t2.restaurant_id where t2.city_name  =  ""san francisco"" and t2.street_name  =  ""buchanan"" and t1.food_type  =  ""arabic"" and t1.rating  >  2.5;"
e_government,find the emails of parties with the most popular party form.,select t1.party_email from parties as t1 join party_forms as t2 on t1.party_id  =  t2.party_id where t2.form_id  =  (select form_id from party_forms group by form_id order by count(*) desc limit 1)
soccer_2,how many colleges in total?,select count(*) from college
csu_1,how many undergraduates are there at san jose state,"select sum(t1.undergraduate) from discipline_enrollments as t1 join campuses as t2 on t1.campus  =  t2.id where t1.year  =  2004 and t2.campus  =  ""san jose state university"""
hospital_1,find the name of physicians who are affiliated with both surgery and psychiatry departments.,select t1.name from physician as t1 join affiliated_with as t2 on t1.employeeid  =  t2.physician join department as t3 on t2.department  =  t3.departmentid where t3.name  =  'surgery' intersect select t1.name from physician as t1 join affiliated_with as t2 on t1.employeeid  =  t2.physician join department as t3 on t2.department  =  t3.departmentid where t3.name  =  'psychiatry'
aircraft,list the description of all aircrafts.,select description from aircraft
student_1,"for each grade 0 classroom, report the total number of students.","select classroom ,  count(*) from list where grade  =  ""0"" group by classroom"
restaurants,where can i eat french food in mountain view ?,"select t2.house_number  ,  t1.name from restaurant as t1 join location as t2 on t1.id  =  t2.restaurant_id where t2.city_name  =  ""mountain view"" and t1.food_type  =  ""french"";"
hr_1,"find job id and date of hire for those employees who was hired between november 5th, 2007 and july 5th, 2009.","select job_id ,  hire_date from employees where hire_date between '2007-11-05' and '2009-07-05'"
voter_2,find the average age of female students.,"select avg(age) from student where sex  =  ""f"""
manufactory_1,what are the names of companies with revenue less than the lowest revenue of any manufacturer in austin?,select name from manufacturers where revenue  <  (select min(revenue) from manufacturers where headquarter  =  'austin')
icfp_1,"what is the first name of the author with last name ""ueno""?","select fname from authors where lname  =  ""ueno"""
music_1,what is the most popular file format?,select formats from files group by formats order by count (*) desc limit 1
perpetrator,list the names of perpetrators in descending order of the year.,select t1.name from people as t1 join perpetrator as t2 on t1.people_id  =  t2.people_id order by t2.year desc
driving_school,what are the details of the car with id 1?,select vehicle_details from vehicles where vehicle_id = 1;
flight_1,what is the name of each aircraft and how many flights does each one complete?,"select t2.name ,  count(*) from flight as t1 join aircraft as t2 on t1.aid  =  t2.aid group by t1.aid"
student_assessment,what are the names of the courses in alphabetical order?,select course_name from courses order by course_name
activity_1,what are the ids of the faculty members who do not advise any student.,select facid from faculty except select advisor from student
workshop_paper,find the author for each submission and list them in ascending order of submission score.,select author from submission order by scores asc
entertainment_awards,please show different types of artworks with the corresponding number of artworks of each type.,"select type ,  count(*) from artwork group by type"
loan_1,"find the name, account type, and account balance of the customer who has the highest credit score.","select cust_name ,  acc_type ,  acc_bal from customer order by credit_score desc limit 1"
department_store,how many department stores does the store chain south have?,"select count(*) from department_stores as t1 join department_store_chain as t2 on t1.dept_store_chain_id  =  t2.dept_store_chain_id where t2.dept_store_chain_name  =  ""south"""
customers_card_transactions,show the transaction type and the number of transactions.,"select transaction_type ,  count(*) from financial_transactions group by transaction_type"
geo,what state has the longest river,select distinct traverse from river where length  =  ( select max ( distinct length ) from river );
network_1,what are the names and grades for each high schooler?,"select name ,  grade from highschooler"
chinook_1,find the address of all customers that live in germany and have invoice.,"select distinct t1.address from customer as t1 join invoice as t2 on t1.customerid  =  t2.customerid where t1.country  =  ""germany"""
academic,return me the number of keywords in pvldb .,"select count ( distinct t1.keyword ) from publication_keyword as t4 join keyword as t1 on t4.kid  =  t1.kid join publication as t2 on t2.pid  =  t4.pid join journal as t3 on t2.jid  =  t3.jid where t3.name  =  ""pvldb"";"
product_catalog,"find all the catalog publishers whose name contains ""murray""","select distinct(catalog_publisher) from catalogs where catalog_publisher like ""%murray%"""
concert_singer,what are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"select t2.name ,  t2.location from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  =  2014 intersect select t2.name ,  t2.location from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  =  2015"
roller_coaster,show the statuses of roller coasters longer than 3300 or higher than 100.,select status from roller_coaster where length  >  3300 or height  >  100
election_representative,what parties have at least three representatives?,select party from representative group by party having count(*)  >=  3
flight_1,what is the flight number and its distance for the one with the maximum price?,"select flno ,  distance from flight order by price desc limit 1"
musical,please show the nominee who has been nominated the greatest number of times.,select nominee from musical group by nominee order by count(*) desc limit 1
scholar,what datasets were used by jitendra malik ?,"select distinct t2.datasetid from paper as t3 join paperdataset as t2 on t3.paperid  =  t2.paperid join writes as t4 on t4.paperid  =  t3.paperid join author as t1 on t4.authorid  =  t1.authorid where t1.authorname  =  ""jitendra malik"";"
chinook_1,find all the customer information in state ny.,"select * from customer where state  =  ""ny"""
musical,show names of musicals and the number of actors who have appeared in the musicals.,"select t2.name ,  count(*) from actor as t1 join musical as t2 on t1.musical_id  =  t2.musical_id group by t1.musical_id"
gas_company,find the location and representative name of the gas stations owned by the companies with top 3 asset amounts.,"select t3.location ,  t3.representative_name from station_company as t1 join company as t2 on t1.company_id  =  t2.company_id join gas_station as t3 on t1.station_id  =  t3.station_id order by t2.assets_billion desc limit 3"
yelp,"find the total checkins in moroccan restaurant in "" los angeles "" on friday","select sum ( t4.count ) from category as t2 join business as t1 on t2.business_id  =  t1.business_id join category as t3 on t3.business_id  =  t1.business_id join checkin as t4 on t4.business_id  =  t1.business_id where t1.city  =  ""los angeles"" and t2.category_name  =  ""moroccan"" and t3.category_name  =  ""restaurant"" and t4.day  =  ""friday"";"
student_assessment,how many students attend course english?,"select count(*) from courses as t1 join student_course_attendance as t2 on t1.course_id = t2.course_id where t1.course_name = ""english"""
voter_2,find the distinct last names of all the students who have president votes and whose advisor is not 2192.,"select distinct t1.lname from student as t1 join voting_record as t2 on t1.stuid  =  president_vote except select distinct lname from student where advisor  =  ""2192"""
cre_theme_park,tell me the price ranges for all the hotels.,select price_range from hotels
insurance_and_eclaims,count the number of distinct claim outcome codes.,select count(distinct claim_outcome_code) from claims_processing
world_1,what languages are only used by a single country with a republic government?,"select t2.language from country as t1 join countrylanguage as t2 on t1.code  =  t2.countrycode where t1.governmentform  =  ""republic"" group by t2.language having count(*)  =  1"
tracking_software_problems,find the oldest log id and its corresponding problem id.,"select problem_log_id ,  problem_id from problem_log order by log_entry_date limit 1"
poker_player,"what are the names and birth dates of people, ordered by their names in alphabetical order?","select name ,  birth_date from people order by name asc"
farm,what is the average number of working horses of farms with more than 5000 total number of horses?,select avg(working_horses) from farm where total_horses  >  5000
customers_card_transactions,how many customers have an account?,select count(distinct customer_id) from accounts
hr_1,what are the salaries and manager ids for employees who have managers?,"select salary ,  manager_id from employees where manager_id != ""null"""
employee_hire_evaluation,find the names of employees who never won any award in the evaluation.,select name from employee where employee_id not in (select employee_id from evaluation)
college_1,"what is the first and last name of the youngest student with a gpa above 3, and what is their gpa?","select stu_fname ,  stu_lname ,  stu_gpa from student where stu_gpa  >  3 order by stu_dob desc limit 1"
geo,what are the names of the major cities in kansas,"select city_name from city where population  >  150000 and state_name  =  ""kansas"";"
customers_and_addresses,"return the address content for the customer whose name is ""maudie kertzmann"".","select t3.address_content from customers as t1 join customer_addresses as t2 on t1.customer_id  =  t2.customer_id join addresses as t3 on t2.address_id  =  t3.address_id where t1.customer_name  =  ""maudie kertzmann"""
wrestler,what is the name of the wrestler with the fewest days held?,select name from wrestler order by days_held asc limit 1
movie_1,what are the names of all directors who have made one movie except for the director named null?,"select director from movie where director != ""null"" group by director having count(*)  =  1"
entrepreneur,what is the average money requested by all entrepreneurs?,select avg(money_requested) from entrepreneur
train_station,show the location with most number of train stations.,select location from station group by location order by count(*) desc limit 1
e_learning,how many distinct courses are enrolled in by students?,select count(course_id) from student_course_enrolment
musical,show different nominees and the number of musicals they have been nominated.,"select nominee ,  count(*) from musical group by nominee"
music_2,"what instruments does the the song ""le pop"" use?","select instrument from instruments as t1 join songs as t2 on t1.songid  =  t2.songid where title  =  ""le pop"""
music_1,what are the names of the different artists from bangladesh who never received a rating higher than a 7?,"select distinct artist_name from artist where country  =  ""bangladesh"" except select distinct artist_name from song where rating  >  7"
course_teach,what are the names of the teachers whose courses have not been arranged?,select name from teacher where teacher_id not in (select teacher_id from course_arrange)
allergy_1,what is the type of allergy cat?,"select allergytype from allergy_type where allergy  =  ""cat"""
ship_1,"what are the names of captains, sorted by age descending?",select name from captain order by age desc
csu_1,"what is the campus fee of ""san francisco state university"" in year 2000?","select t1.campusfee from csu_fees as t1 join campuses as t2 on t1.campus  =  t2.id where t2.campus  =  ""san francisco state university"" and t1.year  =  2000"
csu_1,what are the campuses that opened in 1958?,select campus from campuses where year  =  1958
concert_singer,what are the number of concerts that occurred in the stadium with the largest capacity?,select count(*) from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id order by t2.capacity desc limit 1
geo,how high is the highest point in delaware,"select highest_elevation from highlow where state_name  =  ""delaware"";"
store_product,what city is the headquarter of the store blackville?,"select t3.headquartered_city from store as t1 join store_district as t2 on t1.store_id  =  t2.store_id join district as t3 on t2.district_id  =  t3.district_id where t1.store_name  =  ""blackville"""
college_2,how many departments offer courses?,select count(distinct dept_name) from course
scholar,who does oren etzioni cite,"select distinct t3.paperid from paper as t3 join cite as t4 on t3.paperid  =  t4.citingpaperid join writes as t2 on t2.paperid  =  t4.citedpaperid join author as t1 on t2.authorid  =  t1.authorid where t1.authorname  =  ""oren etzioni"";"
imdb,"what is the latest movie by "" jim jarmusch ""","select t3.title from director as t2 join directed_by as t1 on t2.did  =  t1.did join movie as t3 on t3.mid  =  t1.msid where t2.name  =  ""jim jarmusch"" order by t3.release_year desc limit 1;"
hr_1,find employee with id and name of the country presently where (s)he is working.,"select t1.employee_id ,  t4.country_name from employees as t1 join departments as t2 on t1.department_id  =  t2.department_id join locations as t3 on t2.location_id  =  t3.location_id join countries as t4 on t3.country_id  =  t4.country_id"
manufactory_1,"find the number of products for each manufacturer, showing the name of each company.","select count(*) ,  t2.name from products as t1 join manufacturers as t2 on t1.manufacturer  =  t2.code group by t2.name"
game_1,how many video games do you have?,select count(*) from video_games
student_transcripts_tracking,whose permanent address is different from his or her current address? list his or her first name.,select first_name from students where current_address_id != permanent_address_id
gas_company,order all gas station locations by the opening year.,select location from gas_station order by open_year
e_government,what is the name of the party form that is most common?,select t1.form_name from forms as t1 join party_forms as t2 on t1.form_id  =  t2.form_id group by t2.form_id order by count(*) desc limit 1
academic,"return me all the researchers in "" university of michigan "" .","select t1.name from organization as t2 join author as t1 on t2.oid  =  t1.oid where t2.name  =  ""university of michigan"";"
car_1,how many car models are produced by each maker? list the count and the maker full name.,"select count(*) ,  t2.fullname ,  t2.id from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;"
cre_doc_control_systems,what document type codes do we have?,select document_type_code from ref_document_types;
tvshow,"list the title of all  cartoons showed on tv channel with series name ""sky radio"".","select t2.title from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t1.series_name = ""sky radio"";"
pets_1,what are the ids of the students who do not own cats as pets?,select stuid from student except select t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat'
e_learning,how many students did not have any course enrollment?,select count(*) from students where student_id not in (select student_id from student_course_enrolment)
academic,return me the number of keywords in vldb conference .,"select count ( distinct t1.keyword ) from publication_keyword as t4 join keyword as t1 on t4.kid  =  t1.kid join publication as t3 on t3.pid  =  t4.pid join conference as t2 on t3.cid  =  t2.cid where t2.name  =  ""vldb"";"
college_2,what are the names and average salaries for departments with average salary higher than 42000?,"select dept_name ,  avg (salary) from instructor group by dept_name having avg (salary)  >  42000"
voter_2,what are the distinct majors that students with treasurer votes are studying?,select distinct t1.major from student as t1 join voting_record as t2 on t1.stuid  =  t2.treasurer_vote
customers_and_addresses,return the channel code and contact number of the customer contact channel whose active duration was the longest.,"select channel_code ,  contact_number from customer_contact_channels where active_to_date - active_from_date  =  (select active_to_date - active_from_date from customer_contact_channels order by (active_to_date - active_from_date) desc limit 1)"
products_gen_characteristics,return the characteristic names of the 'sesame' product.,"select t3.characteristic_name from products as t1 join product_characteristics as t2 on t1.product_id  =  t2.product_id join characteristics as t3 on t2.characteristic_id  =  t3.characteristic_id where t1.product_name  =  ""sesame"""
geo,what is the name of the state with the lowest point,select state_name from highlow where lowest_elevation  =  ( select min ( lowest_elevation ) from highlow );
restaurants,what is the best american restaurant in the bay area ?,"select t3.house_number  ,  t1.name from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name join location as t3 on t1.id  =  t3.restaurant_id where t2.region  =  ""bay area"" and t1.food_type  =  ""american"" and t1.rating  =  ( select max ( t1.rating ) from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name where t2.region  =  ""bay area"" and t1.food_type  =  ""american"" );"
race_track,"what are the names, locations, and years of opening for tracks with seating higher than average?","select name ,  location ,  year_opened from track where seating  >  (select avg(seating) from track)"
sports_competition,"show the names of clubs that have players with position ""right wing"".","select t1.name from club as t1 join player as t2 on t1.club_id  =  t2.club_id where t2.position  =  ""right wing"""
city_record,which cities have higher temperature in feb than in jun or have once served as host cities?,select t1.city from city as t1 join temperature as t2 on t1.city_id  =  t2.city_id where t2.feb  >  t2.jun union select t3.city from city as t3 join hosting_city as t4 on t3.city_id  =  t4.host_city
body_builder,list the weight of the body builders who have snatch score higher than 140 or have the height greater than 200.,select t2.weight from body_builder as t1 join people as t2 on t1.people_id  =  t2.people_id where t1.snatch  >  140 or t2.height  >  200;
wrestler,"what are the names of wrestlers and their teams in elimination, ordered descending by days held?","select t2.name ,  t1.team from elimination as t1 join wrestler as t2 on t1.wrestler_id  =  t2.wrestler_id order by t2.days_held desc"
tracking_grants_for_research,what are the details of the project that is producing both patents and papers as outcomes?,select t1.project_details from projects as t1 join project_outcomes as t2 on t1.project_id  =  t2.project_id where t2.outcome_code  =  'paper' intersect select t1.project_details from projects as t1 join project_outcomes as t2 on t1.project_id  =  t2.project_id where t2.outcome_code  =  'patent'
aircraft,what is the name of the aircraft that has won an award the most?,select t1.aircraft from aircraft as t1 join match as t2 on t1.aircraft_id  =  t2.winning_aircraft group by t2.winning_aircraft order by count(*) desc limit 1
store_1,what are the titles of all the albums alphabetically ascending?,select title from albums order by title;
geo,how many people lived in boulder,"select population from city where city_name  =  ""boulder"";"
train_station,show the number of trains,select count(*) from train
store_1,list top 10 employee work longest in the company. list employee's first and last name.,"select first_name , last_name from employees order by hire_date asc limit 10;"
customers_and_invoices,what is the invoice number and invoice date for the invoice with most number of transactions?,"select t2.invoice_number ,  t2.invoice_date from financial_transactions as t1 join invoices as t2 on t1.invoice_number  =  t2.invoice_number group by t1.invoice_number order by count(*) desc limit 1"
aircraft,"for each aircraft that has won an award, what is its name and how many time has it won?","select t1.aircraft ,  count(*) from aircraft as t1 join match as t2 on t1.aircraft_id  =  t2.winning_aircraft group by t2.winning_aircraft"
course_teach,"for each hometown, how many teachers are there?","select hometown ,  count(*) from teacher group by hometown"
scholar,what datasets have jitendra malik used,"select distinct t2.datasetid from paper as t3 join paperdataset as t2 on t3.paperid  =  t2.paperid join writes as t4 on t4.paperid  =  t3.paperid join author as t1 on t4.authorid  =  t1.authorid where t1.authorname  =  ""jitendra malik"";"
world_1,"what are the different continents and the total popuation and average life expectancy corresponding to each, for continents that have an average life expectancy less than 72?","select sum(population) ,  avg(lifeexpectancy) ,  continent from country group by continent having avg(lifeexpectancy)  <  72"
insurance_fnol,what are the maximum and minimum settlement amount on record?,"select max(settlement_amount) ,  min(settlement_amount) from settlements"
geo,what states have rivers named ohio,"select traverse from river where river_name  =  ""ohio"";"
scholar,in 2010 what journal published an article about trophic cascade ?,"select distinct t3.journalid from paperkeyphrase as t2 join keyphrase as t1 on t2.keyphraseid  =  t1.keyphraseid join paper as t3 on t3.paperid  =  t2.paperid where t1.keyphrasename  =  ""trophic cascade"" and t3.year  =  2010 group by t3.journalid;"
singer,what are the names of the singers whose birth years are either 1948 or 1949?,select name from singer where birth_year  =  1948 or birth_year  =  1949
epinions_1,how many users are there?,select count(*) from useracct
gymnast,how many distinct hometowns did these people have?,select count(distinct hometown) from people
scholar,papers about question answering,"select distinct t3.paperid from paperkeyphrase as t2 join keyphrase as t1 on t2.keyphraseid  =  t1.keyphraseid join paper as t3 on t3.paperid  =  t2.paperid where t1.keyphrasename  =  ""question answering"";"
car_1,what is the number of continents?,select count(*) from continents;
wta_1,"find the first name, country code and birth date of the winner who has the highest rank points in all matches.","select t1.first_name ,  t1.country_code ,  t1.birth_date from players as t1 join matches as t2 on t1.player_id  =  t2.winner_id order by t2.winner_rank_points desc limit 1"
cre_theme_park,what are the names of the tourist attractions that can be accessed by bus?,"select name from tourist_attractions where how_to_get_there  =  ""bus"""
geo,how many rivers do not traverse the state with the capital albany,"select count ( river_name ) from river where traverse not in ( select state_name from state where capital  =  ""albany"" );"
geo,what is the shortest river,select river_name from river where length  =  ( select min ( length ) from river );
music_2,"who performed the song named ""badlands""? show the first name and the last name.","select t2.firstname ,  t2.lastname from performance as t1 join band as t2 on t1.bandmate  =  t2.id join songs as t3 on t3.songid  =  t1.songid where t3.title  =  ""badlands"""
allergy_1,find the first name and major of the students who are not allegry to soy.,"select fname ,  major from student where stuid not in (select stuid from has_allergy where allergy  =  ""soy"")"
company_office,what are the average profits of companies?,select avg(profits_billion) from companies
scholar,who cites daniel a reed most ?,"select distinct count ( t4.citingpaperid )  ,  t3.authorid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid join cite as t4 on t2.paperid  =  t4.citedpaperid join writes as t3 on t3.paperid  =  t4.citingpaperid where t1.authorname  =  ""daniel a reed"" group by t3.authorid order by count ( t4.citingpaperid ) desc;"
behavior_monitoring,how many addresses have zip code 197?,"select count(*) from addresses where zip_postcode  =  ""197"""
network_1,how many high schoolers are there?,select count(*) from highschooler
flight_1,show names for all employees who do not have certificate of boeing 737-800.,"select name from employee except select t1.name from employee as t1 join certificate as t2 on t1.eid  =  t2.eid join aircraft as t3 on t3.aid  =  t2.aid where t3.name  =  ""boeing 737-800"""
roller_coaster,what are the lengths and heights of roller coasters?,"select length ,  height from roller_coaster"
election,who are the lieutenant governor and comptroller from the democratic party?,"select lieutenant_governor ,  comptroller from party where party  =  ""democratic"""
yelp,what is the average rating given in michelle reviews,"select avg ( t1.rating ) from user as t2 join review as t1 on t2.user_id  =  t1.user_id where t2.name  =  ""michelle"";"
customers_and_products_contacts,show the product type and name for the products with price higher than 1000 or lower than 500.,"select product_type_code ,  product_name from products where product_price  >  1000 or product_price  <  500"
inn_1,what is the average minimum and price of the rooms for each different decor.,"select decor , avg(baseprice) ,  min(baseprice) from rooms group by decor;"
student_transcripts_tracking,"what is the first, middle, and last name of the earliest school graduate?","select first_name ,  middle_name ,  last_name from students order by date_left asc limit 1"
tracking_grants_for_research,what are the staff roles of the staff who,select role_code from project_staff where date_from  >  '2003-04-19 15:06:20' and date_to  <  '2016-03-15 00:33:18'
cre_drama_workshop_groups,what are the different product names? what is the average product price for each of them?,"select product_name ,  avg(product_price) from products group by product_name"
academic,return me the number of authors who have papers in pvldb .,"select count ( distinct t1.name ) from publication as t4 join journal as t2 on t4.jid  =  t2.jid join writes as t3 on t3.pid  =  t4.pid join author as t1 on t3.aid  =  t1.aid where t2.name  =  ""pvldb"";"
game_1,show all video game types and the number of video games in each type.,"select gtype ,  count(*) from video_games group by gtype"
college_2,what are the ids of courses without prerequisites?,select course_id from course except select course_id from prereq
book_2,what are the dates of publications in descending order of price?,select publication_date from publication order by price desc
cre_drama_workshop_groups,"find the phone number and email address of customer ""harold"".","select customer_phone ,  customer_email_address from customers where customer_name  =  ""harold"""
club_1,"list the clubs having ""davis steven"" as a member.","select distinct t1.clubname from club as t1 join member_of_club as t2 on t1.clubid  =  t2.clubid join student as t3 on t2.stuid  =  t3.stuid where t3.fname  =  ""davis"" and t3.lname  =  ""steven"""
network_2,how many females does this network has?,select count(*) from person where gender  =  'female'
tracking_orders,"find the id of the order whose shipment tracking number is ""3452"".","select order_id from shipments where shipment_tracking_number = ""3452"""
machine_repair,show the team that have at least two technicians.,select team from technician group by team having count(*)  >=  2
formula_1,what is the forename and surname of the driver with the shortest laptime?,"select t1.forename ,  t1.surname from drivers as t1 join laptimes as t2 on t1.driverid = t2.driverid order by t2.milliseconds limit 1"
department_store,what are the ids and names of department stores with both marketing and managing departments?,"select t2.dept_store_id ,  t2.store_name from departments as t1 join department_stores as t2 on t1.dept_store_id  =  t2.dept_store_id where t1.department_name  =  ""marketing"" intersect select t2.dept_store_id ,  t2.store_name from departments as t1 join department_stores as t2 on t1.dept_store_id  =  t2.dept_store_id where t1.department_name  =  ""managing"""
cre_drama_workshop_groups,what is the product id of the most frequently ordered item on invoices?,select product_id from invoices group by product_id order by count(*) desc limit 1
sports_competition,list all club names in ascending order of start year.,select name from club order by start_year asc
bike_1,give me the dates when the max temperature was higher than 85.,select date from weather where max_temperature_f  >  85
orchestra,"what are the names of conductors whose nationalities are not ""usa""?",select name from conductor where nationality != 'usa'
car_1,what are the names of the countries with no car makers?,select countryname from countries except select t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country;
geo,what is the area of new mexico in square kilometers,"select area from state where state_name  =  ""new mexico"";"
csu_1,which campus was opened between 1935 and 1939?,select campus from campuses where year  >=  1935 and year  <=  1939
baseball_1,which 3 players won the most player awards? list their full name and id.,"select t1.name_first ,  t1.name_last ,  t1.player_id from player as t1 join player_award as t2 on t1.player_id  =  t2.player_id group by t1.player_id order by count(*) desc limit 3;"
customers_card_transactions,show the account id and the number of transactions for each account,"select account_id ,  count(*) from financial_transactions group by account_id"
scholar,i want the papers on keyphrase0 by brian curless,"select distinct t1.authorid  ,  t3.paperid from paperkeyphrase as t2 join keyphrase as t5 on t2.keyphraseid  =  t5.keyphraseid join paper as t3 on t3.paperid  =  t2.paperid join writes as t4 on t4.paperid  =  t3.paperid join author as t1 on t4.authorid  =  t1.authorid where t1.authorname  =  ""brian curless"" and t5.keyphrasename  =  ""convolution"";"
car_1,"for each continent, list its id, name, and how many countries it has?","select t1.contid ,  t1.continent ,  count(*) from continents as t1 join countries as t2 on t1.contid  =  t2.continent group by t1.contid;"
culture_company,which publishers did not publish a book in 1989?,select publisher from book_club except select publisher from book_club where year  =  1989
soccer_2,find names of colleges with enrollment greater than that of some (at least one) college in the fl state.,select distinct cname from college where enr  >  (select min(enr) from college where state  =  'fl')
world_1,find the city with the largest population that uses english.,"select t1.name ,  t1.population from city as t1 join countrylanguage as t2 on t1.countrycode  =  t2.countrycode where t2.language  =  ""english"" order by t1.population desc limit 1"
hr_1,what is all the information about the marketing department?,select * from  departments where department_name  =  'marketing'
scholar,conferences that mention imagenet,"select distinct t3.venueid from paperdataset as t2 join dataset as t1 on t2.datasetid  =  t1.datasetid join paper as t3 on t3.paperid  =  t2.paperid where t1.datasetname  =  ""imagenet"";"
yelp,list all the businesses with more than 4.5 stars,select name from business where rating  >  4.5;
cre_doc_tracking_db,which employees do not destroy any document? find their employee ids.,select employee_id from employees except select destroyed_by_employee_id from documents_to_be_destroyed
sakila_1,where does the customer with the first name linda live? and what is her email?,"select t2.address ,  t1.email from customer as t1 join address as t2 on t2.address_id  =  t1.address_id where t1.first_name  =  'linda'"
network_2,what is the average age for a male in each job?,"select avg(age) ,  job from person where gender  =  'male' group by job"
geo,how many rivers are in idaho,"select count ( river_name ) from river where traverse  =  ""idaho"";"
hospital_1,which patients made more than one appointment? tell me the name and phone number of these patients.,"select name ,  phone from appointment as t1 join patient as t2 on t1.patient  =  t2.ssn group by t1.patient having count(*)  >  1"
storm_record,how many regions are affected?,select count(distinct region_id) from affected_region
train_station,show the name and service for all trains in order by time.,"select name ,  service from train order by time"
phone_market,"show the names of phones and the districts of markets they are on, in ascending order of the ranking of the market.","select t3.name ,  t2.district from phone_market as t1 join market as t2 on t1.market_id  =  t2.market_id join phone as t3 on t1.phone_id  =  t3.phone_id order by t2.ranking"
pets_1,find the number of pets whose weight is heavier than 10.,select count(*) from pets where weight  >  10
